# LTR_retriever Module 1 Filter Results
# Column descriptions:
# Sequence_ID: 序列标识符
# Total_Length: 完整序列长度
# Internal_Length: Internal region长度
# LTR5_Length: 5' LTR长度
# LTR3_Length: 3' LTR长度
# LTR_Internal_Ratio: LTR与internal region的长度比
# Internal_Check: Internal region长度检查结果
# Ratio_Check: LTR:internal比率检查结果
# Gap_Check: Gap检查结果
# Max_Gap_Length: 最大连续Gap长度
# TRF_Check: TRF检查结果
# Tandem_Repeats: 符合过滤条件的串联重复数量
# Filter_Status: 最终过滤状态 (PASS/FILTER)
# Filter_Reason: 过滤原因
#
Sequence_ID	Total_Length	Internal_Length	LTR5_Length	LTR3_Length	LTR_Internal_Ratio	Internal_Check	Ratio_Check	Gap_Check	Max_Gap_Length	TRF_Check	Tandem_Repeats	Filter_Status	Filter_Reason
LTR_671	15014	14528	242	245	0.017	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.017) < minimum (0.05)
LTR_672	11541	5384	3077	3081	0.572	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_673	1307	743	279	286	0.380	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_674	5015	4748	134	134	0.028	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.028) < minimum (0.05)
LTR_675	13688	12169	756	764	0.062	PASS	PASS	PASS	0	FAIL	2	FILTER	Contains 2 tandem repeats (align_len>=50bp, period<=500bp)
LTR_676	4788	4441	174	174	0.039	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.039) < minimum (0.05)
LTR_677	12829	10663	1081	1086	0.102	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_678	12434	9972	1235	1228	0.123	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_679	2013	1622	196	196	0.121	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_680	4912	4573	170	170	0.037	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.037) < minimum (0.05)
LTR_681	7419	6196	612	612	0.099	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_682	4716	3963	380	374	0.095	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_683	5233	4963	134	137	0.027	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.027) < minimum (0.05)
LTR_684	1779	1460	158	162	0.110	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_685	11650	10314	663	674	0.065	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_686	4379	2796	792	792	0.283	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_687	4136	3509	316	312	0.089	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_688	9803	9265	274	265	0.029	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.029) < minimum (0.05)
LTR_689	5330	4613	358	360	0.078	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_690	8419	7789	318	313	0.041	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.041) < minimum (0.05)
LTR_691	8126	7537	296	294	0.039	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.039) < minimum (0.05)
LTR_692	1647	1396	126	126	0.090	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_693	1647	1396	126	126	0.090	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_694	11830	11373	231	227	0.020	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.020) < minimum (0.05)
LTR_695	2015	1658	182	176	0.108	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_696	9909	9571	164	175	0.018	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.018) < minimum (0.05)
LTR_697	13807	10787	1512	1509	0.140	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_698	5624	5190	218	217	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_699	6861	6004	426	432	0.071	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_700	7968	7674	148	147	0.019	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.019) < minimum (0.05)
LTR_701	9779	9438	168	174	0.018	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.018) < minimum (0.05)
LTR_702	11556	5345	3108	3104	0.581	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_703	9038	7775	638	626	0.081	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_704	7475	7039	220	217	0.031	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.031) < minimum (0.05)
LTR_705	14242	11772	1238	1233	0.105	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_706	10100	9692	204	205	0.021	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.021) < minimum (0.05)
LTR_707	1391	772	308	312	0.402	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_708	3114	2315	400	400	0.173	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_709	10385	9556	415	415	0.043	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.043) < minimum (0.05)
LTR_710	12467	2031	5217	5220	2.569	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_711	10637	9972	336	330	0.033	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.033) < minimum (0.05)
LTR_712	10918	10168	378	373	0.037	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.037) < minimum (0.05)
LTR_713	6279	4579	851	850	0.186	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_714	10032	9794	120	119	0.012	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.012) < minimum (0.05)
LTR_715	13116	12689	211	217	0.017	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.017) < minimum (0.05)
LTR_716	11415	10535	442	439	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_717	9730	7540	1097	1094	0.145	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_718	5662	4739	457	467	0.097	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_719	9696	5717	1988	1992	0.348	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_720	13158	10732	1214	1213	0.113	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_721	2475	2198	139	139	0.063	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_722	12074	5758	3158	3159	0.549	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_723	13437	6168	3633	3637	0.589	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_724	10371	9484	447	441	0.047	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.047) < minimum (0.05)
LTR_725	1587	1307	144	137	0.107	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_726	10912	10240	331	342	0.033	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.033) < minimum (0.05)
LTR_727	12552	10684	930	939	0.087	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_728	3703	3497	104	103	0.030	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.030) < minimum (0.05)
LTR_729	3881	2446	720	716	0.294	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_730	12013	11202	410	402	0.036	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.036) < minimum (0.05)
LTR_731	2637	2433	104	101	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_732	5820	4578	624	619	0.136	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_733	5281	4524	383	375	0.084	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_734	7845	7160	345	341	0.048	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.048) < minimum (0.05)
LTR_735	8047	7665	189	194	0.025	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.025) < minimum (0.05)
LTR_736	12494	6247	3125	3123	0.500	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_737	7108	6818	148	143	0.021	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.021) < minimum (0.05)
LTR_738	3975	3169	408	399	0.127	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_739	1974	1706	128	141	0.079	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_740	4875	4424	226	226	0.051	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_741	6232	5553	342	338	0.061	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_742	1254	990	132	133	0.134	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_743	2770	1099	838	834	0.761	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_744	11012	10136	438	439	0.043	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.043) < minimum (0.05)
LTR_745	3907	2469	718	721	0.291	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_746	12919	10749	1083	1088	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_747	4692	3974	354	365	0.090	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_748	6628	5919	354	356	0.060	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_749	4904	4496	207	202	0.045	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.045) < minimum (0.05)
LTR_750	4789	4186	303	301	0.072	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_751	5972	5655	158	160	0.028	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.028) < minimum (0.05)
LTR_752	5805	5288	256	262	0.049	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.049) < minimum (0.05)
LTR_753	2011	886	563	563	0.635	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_754	13523	12030	746	748	0.062	PASS	PASS	PASS	0	FAIL	2	FILTER	Contains 2 tandem repeats (align_len>=50bp, period<=500bp)
LTR_755	5844	5253	293	299	0.056	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_756	11285	10404	444	438	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_757	10589	10103	237	250	0.024	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.024) < minimum (0.05)
LTR_758	6544	6120	218	207	0.035	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.035) < minimum (0.05)
LTR_759	6441	6127	160	155	0.026	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.026) < minimum (0.05)
LTR_760	1134	902	119	114	0.129	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_761	5812	4819	497	497	0.103	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_762	4947	3811	570	567	0.149	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_763	5045	4789	128	129	0.027	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.027) < minimum (0.05)
LTR_764	5553	5124	215	215	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_765	2074	1828	122	125	0.068	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_766	5155	4784	187	185	0.039	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.039) < minimum (0.05)
LTR_767	7195	6901	141	154	0.021	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.021) < minimum (0.05)
LTR_768	4916	4405	256	256	0.058	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_769	4807	2854	976	978	0.342	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_770	4715	4276	220	220	0.051	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_771	1340	973	182	186	0.189	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_772	2063	1603	230	231	0.144	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_773	8268	7524	379	366	0.050	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.050) < minimum (0.05)
LTR_774	11071	9005	1032	1035	0.115	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_775	4407	4013	198	197	0.049	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.049) < minimum (0.05)
LTR_776	3401	3150	123	129	0.040	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.040) < minimum (0.05)
LTR_777	4791	4553	121	118	0.026	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.026) < minimum (0.05)
LTR_778	3945	1162	1392	1392	1.198	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_779	1526	1284	121	122	0.095	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_780	7462	7054	206	203	0.029	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.029) < minimum (0.05)
LTR_781	2869	2618	125	127	0.048	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.048) < minimum (0.05)
LTR_782	5117	4392	363	363	0.083	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_783	3121	2423	347	352	0.144	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_784	5370	3229	1071	1071	0.332	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_785	10125	9694	215	217	0.022	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.022) < minimum (0.05)
LTR_786	6967	6683	144	141	0.021	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.021) < minimum (0.05)
LTR_787	4648	4285	184	180	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_788	1743	1265	239	240	0.189	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_789	2148	1854	145	150	0.080	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_790	12841	10690	1076	1076	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_791	11650	5374	3135	3142	0.584	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_792	7110	6252	430	429	0.069	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_793	3984	3427	279	279	0.081	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_794	5515	5285	116	115	0.022	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.022) < minimum (0.05)
LTR_795	1201	917	144	141	0.155	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_796	2934	2423	257	255	0.106	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_797	4918	3343	788	788	0.236	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_798	1299	896	208	196	0.225	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_799	7941	4248	1845	1849	0.435	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_800	13185	12618	283	285	0.023	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.023) < minimum (0.05)
LTR_801	5387	4867	260	261	0.054	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_802	6000	5183	411	407	0.079	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_803	3527	3212	156	160	0.049	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.049) < minimum (0.05)
LTR_804	4587	4204	192	192	0.046	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.046) < minimum (0.05)
LTR_805	7398	6671	365	363	0.055	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_806	5931	5356	283	293	0.054	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_807	12241	11936	151	155	0.013	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.013) < minimum (0.05)
LTR_808	11654	8396	1627	1632	0.194	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_809	12876	6216	3332	3329	0.536	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_810	4592	4241	172	180	0.041	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.041) < minimum (0.05)
LTR_811	4837	3372	735	731	0.217	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_812	7765	6879	444	443	0.064	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_813	15413	13256	1079	1079	0.081	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_814	1704	1492	105	108	0.071	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_815	7494	6626	432	437	0.066	PASS	PASS	PASS	0	FAIL	4	FILTER	Contains 4 tandem repeats (align_len>=50bp, period<=500bp)
LTR_816	2238	1392	424	423	0.304	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_817	12957	10474	1241	1243	0.119	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_818	1239	920	160	160	0.174	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_819	12883	10713	1085	1086	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_859	12866	10709	1079	1079	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_860	6906	6106	401	400	0.066	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_861	14093	13374	359	361	0.027	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.027) < minimum (0.05)
LTR_862	9007	7694	657	657	0.085	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_863	3044	2595	229	221	0.087	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_864	8808	6653	1074	1074	0.161	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_865	7543	7280	132	132	0.018	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.018) < minimum (0.05)
LTR_866	4717	2933	891	894	0.304	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_867	2998	2715	142	142	0.052	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_868	3224	2516	348	361	0.141	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_869	8250	1385	3433	3433	2.479	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_870	10296	9420	437	440	0.047	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.047) < minimum (0.05)
LTR_871	5217	4323	441	441	0.102	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_872	12985	10741	1117	1119	0.104	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_873	10817	9751	530	537	0.055	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_874	4435	2798	819	819	0.293	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_875	2225	871	672	683	0.778	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_876	9681	6207	1679	1796	0.280	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_877	6398	4458	968	968	0.217	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_878	7598	7007	296	296	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_879	12848	10630	1111	1108	0.104	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_880	6492	4499	1005	975	0.220	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_881	5738	4946	396	397	0.080	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_882	13733	13451	140	143	0.011	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.011) < minimum (0.05)
LTR_883	5531	5210	161	161	0.031	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.031) < minimum (0.05)
LTR_884	5179	4636	258	271	0.057	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_885	11303	5441	2801	3062	0.539	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_886	4409	2861	775	774	0.271	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_887	12952	10421	1261	1261	0.121	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_888	12497	10494	1002	1002	0.095	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_889	6424	5451	487	487	0.089	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_890	5098	4580	258	261	0.057	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_891	10739	10403	168	169	0.016	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.016) < minimum (0.05)
LTR_892	14879	12245	1317	1318	0.108	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_893	4205	3553	323	321	0.091	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_894	10837	8862	987	989	0.111	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_895	8237	7344	442	442	0.060	PASS	PASS	PASS	0	FAIL	3	FILTER	Contains 3 tandem repeats (align_len>=50bp, period<=500bp)
LTR_896	10828	7014	1908	1907	0.272	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_897	7400	5029	1204	1168	0.236	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_898	13060	7157	2953	2951	0.412	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_899	12591	10527	1027	1024	0.097	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_900	6469	4502	970	981	0.217	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_901	5398	3214	1094	1091	0.340	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_902	11277	10401	439	438	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_903	6806	5901	447	449	0.076	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_904	7632	7035	296	297	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_905	11766	10042	857	868	0.086	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_906	3397	2616	391	391	0.149	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_907	8876	7582	636	659	0.085	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_908	4276	2843	708	708	0.249	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_909	7432	6547	443	443	0.068	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_910	10809	7764	1517	1529	0.196	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_911	3819	3037	392	391	0.129	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_912	11911	9983	952	952	0.095	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_913	4277	3574	352	352	0.098	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_914	10593	6346	2133	2115	0.335	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_915	6769	5847	450	463	0.078	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_916	6186	5080	543	543	0.107	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_917	3275	2912	182	182	0.062	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_918	8296	7878	211	208	0.027	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.027) < minimum (0.05)
LTR_919	3412	2887	263	263	0.091	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_920	8215	7405	404	407	0.055	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_921	5227	4810	209	209	0.043	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.043) < minimum (0.05)
LTR_922	4335	2553	891	892	0.349	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_923	14020	13573	217	217	0.016	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.016) < minimum (0.05)
LTR_924	12056	5765	3111	3155	0.543	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_925	11617	2837	4391	4390	1.548	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_926	13130	12799	166	166	0.013	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.013) < minimum (0.05)
LTR_927	12906	10715	1096	1096	0.102	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_928	6128	5287	421	421	0.080	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_929	7828	7517	156	156	0.021	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.021) < minimum (0.05)
LTR_930	10599	4243	3168	3168	0.747	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_931	6442	4500	964	979	0.216	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_932	5105	4446	330	330	0.074	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_933	4362	4104	117	117	0.029	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.029) < minimum (0.05)
LTR_934	12084	5760	3162	3163	0.549	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_935	6176	4455	861	861	0.193	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_936	14002	7319	3337	3347	0.457	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_937	13859	6283	3726	3851	0.603	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_938	8236	6604	818	815	0.124	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_939	14699	10051	2334	2315	0.231	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_940	7561	1438	3054	3053	2.123	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_941	13496	11873	812	812	0.068	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_942	6809	5909	440	438	0.074	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_943	3151	2524	314	314	0.124	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_944	11997	11472	264	262	0.023	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.023) < minimum (0.05)
LTR_945	14895	13773	562	561	0.041	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.041) < minimum (0.05)
LTR_946	5384	4729	328	328	0.069	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_947	10143	9786	179	179	0.018	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.018) < minimum (0.05)
LTR_948	10529	8273	1161	1096	0.136	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_949	4111	2664	724	724	0.272	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_950	10276	4983	2639	2639	0.530	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_951	8009	7439	286	285	0.038	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.038) < minimum (0.05)
LTR_952	10203	3861	3172	3171	0.821	PASS	PASS	PASS	0	PASS	0	PASS	NA
