# Unified output from multiple LTR annotation tools
# Format: LTR_HARVEST
# predictions are reported in the following way
# s(ret) e(ret) l(ret) s(lLTR) e(lLTR) l(lLTR) s(rLTR) e(rLTR) l(rLTR) sim(LTRs) seq-id

# Results from LTR_FINDER
12454825 12465625 10801 12454825 12456744 1920 12463704 12465625 1922 98.75 Chr1
12503095 12518300 15206 12503095 12503344 250 12518055 12518300 246 88.00 Chr1
12531214 12542831 11618 12531214 12535608 4395 12538442 12542831 4390 99.77 Chr1
12568555 12581410 12856 12568555 12568678 124 12581293 12581410 118 87.90 Chr1
12598069 12610974 12906 12598069 12599163 1095 12609880 12610974 1095 100.00 Chr1
12637578 12639303 1726 12637578 12637764 187 12639122 12639303 182 85.56 Chr1
12662854 12669950 7097 12662854 12663150 297 12669666 12669950 285 86.20 Chr1
12718710 12724835 6126 12718710 12719129 420 12724416 12724835 420 98.81 Chr1
12757003 12758888 1886 12757003 12757316 314 12758569 12758888 320 91.56 Chr1
12791744 12802322 10579 12791744 12794911 3168 12799152 12802322 3171 99.87 Chr1
12899764 12904869 5106 12899764 12900093 330 12904539 12904869 331 99.40 Chr1
12948190 12960273 12084 12948190 12951350 3161 12957112 12960273 3162 99.84 Chr1
12990562 12996748 6187 12990562 12991439 878 12995886 12996748 863 97.72 Chr1
13012828 13024059 11232 13012828 13013407 580 13023474 13024059 586 97.44 Chr1
13029347 13041699 12353 13029347 13031665 2319 13039385 13041699 2315 98.58 Chr1
13043547 13051923 8377 13043547 13044508 962 13050959 13051923 965 94.30 Chr1
13061026 13068569 7544 13061026 13064078 3053 13065518 13068569 3052 99.84 Chr1
13076301 13089791 13491 13076301 13077111 811 13088986 13089791 806 97.53 Chr1
13091661 13106786 15126 13091661 13092515 855 13105942 13106786 845 95.20 Chr1
13110758 13117544 6787 13110758 13111197 440 13117108 13117544 437 92.27 Chr1
13126396 13129352 2957 13126396 13126510 115 13129237 13129352 116 86.21 Chr1
13179186 13191182 11997 13179186 13179448 263 13190922 13191182 261 96.58 Chr1
13193779 13196164 2386 13193779 13194162 384 13195781 13196164 384 90.36 Chr1
13220153 13235048 14896 13220153 13220715 563 13234490 13235048 559 95.38 Chr1
13331380 13336506 5127 13331380 13331479 100 13336403 13336506 104 89.42 Chr1
13415319 13417574 2256 13415319 13415928 610 13416968 13417574 607 96.56 Chr1
13423842 13438163 14322 13423842 13423957 116 13438048 13438163 116 90.52 Chr1
13459789 13469931 10143 13459789 13459966 178 13469754 13469931 178 96.07 Chr1
13492675 13503192 10518 13492675 13493115 441 13502744 13503192 449 97.10 Chr1
13542955 13547838 4884 13542955 13543185 231 13547598 13547838 241 86.72 Chr1
13618453 13622563 4111 13618453 13619175 723 13621841 13622563 723 92.95 Chr1
13624757 13635016 10260 13624757 13627399 2643 13632369 13635016 2648 98.83 Chr1
13643119 13651012 7894 13643119 13643287 169 13650846 13651012 167 92.31 Chr1
13738473 13751238 12766 13738473 13738744 272 13750963 13751238 276 92.75 Chr1
13811118 13815084 3967 13811118 13811249 132 13814950 13815084 135 88.89 Chr1
13852988 13854347 1360 13852988 13853190 203 13854150 13854347 198 92.12 Chr1
13862942 13875813 12872 13862942 13864021 1080 13874734 13875813 1080 99.72 Chr1
13951778 13954262 2485 13951778 13952980 1203 13953052 13954262 1211 95.95 Chr1
13963282 13970842 7561 13963282 13963923 642 13970194 13970842 649 95.84 Chr1
13998235 14008988 10754 13998235 13998632 398 14008592 14008988 397 94.72 Chr1
14039430 14053499 14070 14039430 14039632 203 14053292 14053499 208 87.02 Chr1
14065308 14066877 1570 14065308 14065436 129 14066744 14066877 134 91.04 Chr1
14089006 14094670 5665 14089006 14089397 392 14094272 14094670 399 95.24 Chr1
14252975 14262345 9371 14252975 14253119 145 14262196 14262345 150 90.00 Chr1
14335547 14338799 3253 14335547 14336467 921 14337877 14338799 923 95.12 Chr1
14418366 14422365 4000 14418366 14418481 116 14422249 14422365 117 88.03 Chr1
14451194 14464466 13273 14451194 14451377 184 14464283 14464466 184 94.02 Chr1
14535191 14543736 8546 14535191 14535522 332 14543415 14543736 322 93.37 Chr1
14551723 14566823 15101 14551723 14553647 1925 14564898 14566823 1926 99.27 Chr1
14602097 14617132 15036 14602097 14602994 898 14616241 14617132 892 89.42 Chr1
14650544 14658451 7908 14650544 14650979 436 14658005 14658451 447 91.50 Chr1
14660486 14672308 11823 14660486 14663376 2891 14669416 14672308 2893 99.86 Chr1
14712617 14720659 8043 14712617 14713061 445 14720218 14720659 442 96.40 Chr1
14725037 14731474 6438 14725037 14725260 224 14731251 14731474 224 85.71 Chr1
14840313 14850277 9965 14840313 14840641 329 14849949 14850277 329 89.67 Chr1
14870340 14876615 6276 14870340 14871118 779 14875832 14876615 784 97.19 Chr1
14974798 14976432 1635 14974798 14974924 127 14976312 14976432 121 85.83 Chr1
15036633 15049411 12779 15036633 15037862 1230 15048180 15049411 1232 98.78 Chr1
15127286 15130017 2732 15127286 15127405 120 15129894 15130017 124 87.10 Chr1
15174491 15176498 2008 15174491 15174778 288 15176215 15176498 284 92.36 Chr1
15207600 15209063 1464 15207600 15207893 294 15208764 15209063 300 94.00 Chr1
15218247 15222291 4045 15218247 15219394 1148 15221140 15222291 1152 96.53 Chr1
15242454 15253370 10917 15242454 15244936 2483 15250890 15253370 2481 98.79 Chr1
15301453 15307713 6261 15301453 15302229 777 15306939 15307713 775 96.78 Chr1
15407640 15410457 2818 15407640 15407798 159 15410297 15410457 161 90.06 Chr1
15537076 15541246 4171 15537076 15537616 541 15540706 15541246 541 94.82 Chr1
15597284 15605374 8091 15597284 15597729 446 15604928 15605374 447 98.21 Chr1
15610411 15616861 6451 15610411 15610964 554 15616307 15616861 555 95.32 Chr1
15639121 15643900 4780 15639121 15639759 639 15643255 15643900 646 93.50 Chr1
15696995 15701272 4278 15696995 15697136 142 15701126 15701272 147 91.16 Chr1
15714322 15724018 9697 15714322 15714471 150 15723880 15724018 139 85.33 Chr1
15864701 15876640 11940 15864701 15867702 3002 15873642 15876640 2999 98.93 Chr1
15982537 15989494 6958 15982537 15983246 710 15988785 15989494 710 94.79 Chr1
16040686 16045652 4967 16040686 16041415 730 16044921 16045652 732 96.04 Chr1
16073817 16076672 2856 16073817 16073949 133 16076534 16076672 139 87.05 Chr1
16159384 16172130 12747 16159384 16160501 1118 16171012 16172130 1119 99.20 Chr1
16176549 16187645 11097 16176549 16177404 856 16186795 16187645 851 91.00 Chr1
16196021 16199549 3529 16196021 16196526 506 16199042 16199549 508 96.46 Chr1
16211895 16224360 12466 16211895 16215000 3106 16221254 16224360 3107 99.13 Chr1
16230162 16231502 1341 16230162 16230400 239 16231262 16231502 241 87.14 Chr1
16234961 16243708 8748 16234961 16235163 203 16243507 16243708 202 90.64 Chr1
16268981 16278013 9033 16268981 16271335 2355 16275650 16278013 2364 98.31 Chr1
16281576 16283159 1584 16281576 16281678 103 16283053 16283159 107 85.98 Chr1
16307565 16311641 4077 16307565 16308034 470 16311172 16311641 470 95.53 Chr1
16338603 16342430 3828 16338603 16338839 237 16342198 16342430 233 86.92 Chr1
16394130 16397492 3363 16394130 16394337 208 16397282 16397492 211 91.00 Chr1
16420156 16422458 2303 16420156 16420566 411 16422048 16422458 411 90.27 Chr1
16437326 16442436 5111 16437326 16437448 123 16442312 16442436 125 92.00 Chr1
16526160 16531487 5328 16526160 16526628 469 16531012 16531487 476 93.70 Chr1
16533778 16547329 13552 16533778 16534013 236 16547080 16547329 250 92.40 Chr1
16550434 16562825 12392 16550434 16550649 216 16562618 16562825 208 89.81 Chr1
16574115 16586632 12518 16574115 16575199 1085 16585539 16586632 1094 97.62 Chr1
16600428 16606554 6127 16600428 16601120 693 16605856 16606554 699 93.99 Chr1
16618258 16629873 11616 16618258 16621376 3119 16626748 16629873 3126 98.43 Chr1
16769310 16782313 13004 16769310 16770783 1474 16780828 16782313 1486 99.06 Chr1
16790419 16801978 11560 16790419 16791653 1235 16800745 16801978 1234 98.46 Chr1
16849540 16856298 6759 16849540 16849864 325 16855974 16856298 325 98.77 Chr1
16891580 16895412 3833 16891580 16891853 274 16895139 16895412 274 97.45 Chr1
16942927 16946845 3919 16942927 16943344 418 16946420 16946845 426 94.37 Chr1
16952085 16955355 3271 16952085 16953016 932 16954424 16955355 932 96.78 Chr1
16962014 16971831 9818 16962014 16962369 356 16971473 16971831 359 93.31 Chr1
16974769 16979173 4405 16974769 16975561 793 16978378 16979173 796 99.25 Chr1
17004650 17010385 5736 17004650 17004866 217 17010181 17010385 205 91.71 Chr1
17034224 17040553 6330 17034224 17035283 1060 17039500 17040553 1054 92.92 Chr1
17090379 17100285 9907 17090379 17091457 1079 17099215 17100285 1071 96.29 Chr1
17113866 17119883 6018 17113866 17114705 840 17119032 17119883 852 93.66 Chr1
17129586 17131614 2029 17129586 17129751 166 17131443 17131614 172 93.60 Chr1
17144777 17149053 4277 17144777 17145270 494 17148560 17149053 494 95.34 Chr1
17180274 17191412 11139 17180274 17181065 792 17190624 17191412 789 95.45 Chr1
17231521 17240326 8806 17231521 17232744 1224 17239097 17240326 1230 94.31 Chr1
17242495 17249260 6766 17242495 17242779 285 17248975 17249260 286 93.71 Chr1
17294896 17296638 1743 17294896 17295336 441 17296199 17296638 440 97.28 Chr1
17311138 17318804 7667 17311138 17311606 469 17318334 17318804 471 94.69 Chr1
17327809 17333917 6109 17327809 17328597 789 17333123 17333917 795 97.86 Chr1
17358230 17369531 11302 17358230 17358664 435 17369094 17369531 438 96.80 Chr1
17416468 17423715 7248 17416468 17416589 122 17423597 17423715 119 94.26 Chr1
17436258 17442516 6259 17436258 17437031 774 17441741 17442516 776 98.97 Chr1
17524385 17531788 7404 17524385 17525172 788 17531001 17531788 788 99.87 Chr1
17634711 17644883 10173 17634711 17636354 1644 17643233 17644883 1651 99.15 Chr1
17666056 17674495 8440 17666056 17666491 436 17674072 17674495 424 94.04 Chr1
17699915 17705442 5528 17699915 17700035 121 17705322 17705442 121 99.17 Chr1
17729581 17735209 5629 17729581 17729782 202 17735000 17735209 210 90.95 Chr1
17773920 17785543 11624 17773920 17774906 987 17784553 17785543 991 95.66 Chr1
17802663 17805900 3238 17802663 17803061 399 17805492 17805900 409 88.75 Chr1
17819752 17833676 13925 17819752 17820291 540 17833135 17833676 542 93.54 Chr1
17844216 17845678 1463 17844216 17844342 127 17845553 17845678 126 89.76 Chr1
17887073 17892281 5209 17887073 17887509 437 17891844 17892281 438 99.32 Chr1
18018402 18027415 9014 18018402 18018752 351 18027058 18027415 358 96.37 Chr1
18209651 18216090 6440 18209651 18210621 971 18215120 18216090 971 98.15 Chr1
18288213 18295930 7718 18288213 18289127 915 18295011 18295930 920 98.59 Chr1
18308353 18319968 11616 18308353 18311472 3120 18316852 18319968 3117 98.97 Chr1
18358454 18364335 5882 18358454 18358781 328 18364012 18364335 324 96.04 Chr1
18378350 18381569 3220 18378350 18378930 581 18380996 18381569 574 91.39 Chr1
18424518 18434790 10273 18424518 18424744 227 18434564 18434790 227 98.68 Chr1
18545933 18553236 7304 18545933 18546365 433 18552810 18553236 427 96.54 Chr1
18611081 18623986 12906 18611081 18611212 132 18623855 18623986 132 94.70 Chr1
18628482 18631079 2598 18628482 18628617 136 18630939 18631079 141 87.23 Chr1
18714206 18720423 6218 18714206 18714443 238 18720186 18720423 238 94.96 Chr1
18874443 18884811 10369 18874443 18875093 651 18884147 18884811 665 95.79 Chr1
18910167 18918740 8574 18910167 18910507 341 18918403 18918740 338 96.77 Chr1
18990482 18997985 7504 18990482 18990586 105 18997881 18997985 105 91.43 Chr1
19015824 19020841 5018 19015824 19015958 135 19020695 19020841 147 90.48 Chr1
19194074 19203128 9055 19194074 19194205 132 19202999 19203128 130 90.91 Chr1
19235427 19240457 5031 19235427 19235588 162 19240300 19240457 158 93.83 Chr1
19361798 19368631 6834 19361798 19362081 284 19368344 19368631 288 89.58 Chr1
19369902 19373422 3521 19369902 19370098 197 19373232 19373422 191 86.29 Chr1
19412846 19423646 10801 19412846 19414625 1780 19421847 19423646 1800 97.83 Chr1
19440238 19451648 11411 19440238 19443266 3029 19448620 19451648 3029 99.50 Chr1
19511053 19512530 1478 19511053 19511301 249 19512283 19512530 248 95.18 Chr1
19555359 19566265 10907 19555359 19559394 4036 19562226 19566265 4040 99.90 Chr1
19567759 19569312 1554 19567759 19568252 494 19568824 19569312 489 88.66 Chr1
19579596 19588995 9400 19579596 19582781 3186 19585817 19588995 3179 99.53 Chr1
19604061 19608142 4082 19604061 19604207 147 19607993 19608142 150 94.67 Chr1
19608996 19622329 13334 19608996 19610147 1152 19621181 19622329 1149 98.70 Chr1
19623707 19635030 11324 19623707 19624154 448 19634588 19635030 443 98.44 Chr1
19657158 19667919 10762 19657158 19660969 3812 19664094 19667919 3826 99.29 Chr1
19754169 19764925 10757 19754169 19757414 3246 19761679 19764925 3247 99.57 Chr1
19790414 19801717 11304 19790414 19790856 443 19801276 19801717 442 99.77 Chr1
19802888 19807833 4946 19802888 19803869 982 19806854 19807833 980 91.34 Chr1
19834603 19843697 9095 19834603 19834946 344 19843352 19843697 346 95.66 Chr1
19864279 19867187 2909 19864279 19864667 389 19866810 19867187 378 94.86 Chr1
19936058 19948155 12098 19936058 19939221 3164 19944992 19948155 3164 99.84 Chr1
19999261 20011364 12104 19999261 20002425 3165 20008192 20011364 3173 99.31 Chr1
20082919 20086417 3499 20082919 20083251 333 20086083 20086417 335 90.75 Chr1
20137178 20144970 7793 20137178 20137655 478 20144495 20144970 476 92.26 Chr1
20158735 20170498 11764 20158735 20161917 3183 20167309 20170498 3190 99.66 Chr1
20219982 20231322 11341 20219982 20220546 565 20230755 20231322 568 95.77 Chr1
20326469 20334354 7886 20326469 20326577 109 20334252 20334354 103 86.24 Chr1
20389609 20395257 5649 20389609 20390350 742 20394516 20395257 742 96.63 Chr1
20454477 20459186 4710 20454477 20454588 112 20459071 20459186 116 89.66 Chr1
20470518 20474997 4480 20470518 20471310 793 20474212 20474997 786 96.60 Chr1
20559207 20560776 1570 20559207 20559319 113 20560665 20560776 112 93.81 Chr1
20611262 20617527 6266 20611262 20612045 784 20616744 20617527 784 98.72 Chr1
20642903 20653712 10810 20642903 20643176 274 20653434 20653712 279 88.89 Chr1
20672893 20684990 12098 20672893 20676051 3159 20681832 20684990 3159 99.59 Chr1
20752913 20755213 2301 20752913 20753212 300 20754900 20755213 314 92.04 Chr1
20770384 20773439 3056 20770384 20770571 188 20773255 20773439 185 91.49 Chr1
20792823 20804143 11321 20792823 20793261 439 20803704 20804143 440 98.18 Chr1
20835064 20841650 6587 20835064 20835503 440 20841211 20841650 440 99.55 Chr1
20842236 20843692 1457 20842236 20842503 268 20843437 20843692 256 87.31 Chr1
20877051 20887178 10128 20877051 20877864 814 20886380 20887178 799 95.95 Chr1
20917845 20922823 4979 20917845 20918633 789 20922036 20922823 788 97.72 Chr1
20963445 20976302 12858 20963445 20964513 1069 20975232 20976302 1071 99.81 Chr1
20998351 21008287 9937 20998351 21001254 2904 21005382 21008287 2906 99.00 Chr1
21048201 21054483 6283 21048201 21048610 410 21054074 21054483 410 100.00 Chr1
21091555 21098774 7220 21091555 21091995 441 21098330 21098774 445 99.10 Chr1
21205925 21218777 12853 21205925 21206997 1073 21217708 21218777 1070 99.44 Chr1
21245232 21258129 12898 21245232 21246305 1074 21257051 21258129 1079 99.44 Chr1
21289646 21299731 10086 21289646 21292800 3155 21296578 21299731 3154 99.90 Chr1
21303763 21305144 1382 21303763 21303906 144 21305005 21305144 140 89.58 Chr1
21328769 21329999 1231 21328769 21328882 114 21329887 21329999 113 85.96 Chr1
21397616 21401263 3648 21397616 21398110 495 21400757 21401263 507 91.91 Chr1
21450438 21463940 13503 21450438 21453826 3389 21460552 21463940 3389 99.91 Chr1
21473572 21477643 4072 21473572 21473744 173 21477474 21477643 170 95.95 Chr1
21478731 21490993 12263 21478731 21479087 357 21490646 21490993 348 91.88 Chr1
21498146 21499472 1327 21498146 21498362 217 21499250 21499472 223 86.55 Chr1
21505725 21512345 6621 21505725 21505898 174 21512171 21512345 175 90.29 Chr1
21569721 21572643 2923 21569721 21570173 453 21572195 21572643 449 90.95 Chr1
21582654 21592939 10286 21582654 21583637 984 21591949 21592939 991 95.16 Chr1
21643957 21656847 12891 21643957 21645060 1104 21655744 21656847 1104 100.00 Chr1
21739540 21745234 5695 21739540 21739696 157 21745075 21745234 160 93.75 Chr1
21763715 21769554 5840 21763715 21764131 417 21769138 21769554 417 100.00 Chr1
21823019 21826574 3556 21823019 21823151 133 21826453 21826574 122 85.71 Chr1
21860518 21872876 12359 21860518 21860876 359 21872519 21872876 358 92.48 Chr1
21950022 21955961 5940 21950022 21950434 413 21955545 21955961 417 98.80 Chr1
22007586 22016385 8800 22007586 22007736 151 22016237 22016385 149 87.42 Chr1
22045598 22048723 3126 22045598 22046047 450 22048276 22048723 448 92.67 Chr1
22072774 22075180 2407 22072774 22073064 291 22074888 22075180 293 92.15 Chr1
22270892 22279096 8205 22270892 22271749 858 22278245 22279096 852 93.01 Chr1
22282583 22284893 2311 22282583 22282692 110 22284783 22284893 111 86.49 Chr1
22294729 22300451 5723 22294729 22294983 255 22300196 22300451 256 94.92 Chr1
22314718 22322651 7934 22314718 22315475 758 22321899 22322651 753 97.36 Chr1
22400917 22412378 11462 22400917 22401486 570 22411804 22412378 575 94.09 Chr1
22508720 22520663 11944 22508720 22511716 2997 22517666 22520663 2998 99.63 Chr1
22564719 22573354 8636 22564719 22565345 627 22572737 22573354 618 96.01 Chr1
22583898 22586846 2949 22583898 22584112 215 22586638 22586846 209 89.77 Chr1
22601256 22603354 2099 22601256 22601372 117 22603243 22603354 112 87.18 Chr1
22784404 22795471 11068 22784404 22784771 368 22795102 22795471 370 95.68 Chr1
22841963 22852225 10263 22841963 22843304 1342 22850882 22852225 1344 96.50 Chr1
22854355 22865879 11525 22854355 22854579 225 22865657 22865879 223 86.22 Chr1
22872873 22875481 2609 22872873 22873098 226 22875253 22875481 229 86.90 Chr1
23015363 23024853 9491 23015363 23015886 524 23024325 23024853 529 94.33 Chr1
23031855 23042004 10150 23031855 23032130 276 23041728 23042004 277 90.97 Chr1
23050714 23063675 12962 23050714 23051960 1247 23062426 23063675 1250 98.88 Chr1
23127498 23137438 9941 23127498 23130669 3172 23134272 23137438 3167 99.59 Chr1
23148849 23152337 3489 23148849 23149304 456 23151890 23152337 448 91.89 Chr1
23275140 23279037 3898 23275140 23275842 703 23278330 23279037 708 96.89 Chr1
23399737 23410928 11192 23399737 23400197 461 23410471 23410928 458 96.75 Chr1
23460081 23463392 3312 23460081 23460353 273 23463125 23463392 268 94.14 Chr1
23466299 23469959 3661 23466299 23467426 1128 23468830 23469959 1130 98.14 Chr1
23474451 23483916 9466 23474451 23478064 3614 23480305 23483916 3612 99.25 Chr1
23502779 23508534 5756 23502779 23503085 307 23508230 23508534 305 96.42 Chr1
23593881 23606771 12891 23593881 23594962 1082 23605692 23606771 1080 99.82 Chr1
23674584 23684383 9800 23674584 23674924 341 23684051 23684383 333 92.08 Chr1
23804207 23805983 1777 23804207 23804819 613 23805381 23805983 603 97.06 Chr1
23890239 23897111 6873 23890239 23890440 202 23896921 23897111 191 90.59 Chr1
24034029 24037266 3238 24034029 24034306 278 24036988 24037266 279 94.98 Chr1
24073367 24081869 8503 24073367 24073480 114 24081761 24081869 109 86.84 Chr1
24096997 24098648 1652 24096997 24097127 131 24098522 24098648 127 85.50 Chr1
24202374 24217372 14999 24202374 24202592 219 24217156 24217372 217 91.78 Chr1
24419460 24427435 7976 24419460 24419655 196 24427227 24427435 209 89.00 Chr1
24563426 24564633 1208 24563426 24563590 165 24564462 24564633 172 91.86 Chr1
24656178 24657545 1368 24656178 24656441 264 24657286 24657545 260 92.05 Chr1
24670780 24677630 6851 24670780 24670896 117 24677512 24677630 119 90.76 Chr1
24679028 24687653 8626 24679028 24679197 170 24687489 24687653 165 92.35 Chr1
24742950 24748434 5485 24742950 24744124 1175 24747251 24748434 1184 98.14 Chr1
24774794 24779567 4774 24774794 24775002 209 24779359 24779567 209 99.52 Chr1
25033562 25034742 1181 25033562 25033721 160 25034584 25034742 159 87.50 Chr1
25066209 25071256 5048 25066209 25066797 589 25070679 25071256 578 88.96 Chr1
25100027 25112572 12546 25100027 25100901 875 25111704 25112572 869 98.63 Chr1
25169107 25179262 10156 25169107 25169369 263 25179014 25179262 249 87.83 Chr1
25240017 25243031 3015 25240017 25240148 132 25242905 25243031 127 88.64 Chr1
25246839 25255766 8928 25246839 25246947 109 25255659 25255766 108 89.91 Chr1
25303308 25311805 8498 25303308 25303986 679 25311129 25311805 677 95.88 Chr1
25380140 25381882 1743 25380140 25380298 159 25381721 25381882 162 89.51 Chr1
25397106 25402979 5874 25397106 25397416 311 25402668 25402979 312 90.38 Chr1
25478824 25480415 1592 25478824 25479126 303 25480112 25480415 304 91.78 Chr1
25566858 25573312 6455 25566858 25567349 492 25572821 25573312 492 100.00 Chr1
25578791 25591067 12277 25578791 25578891 101 25590963 25591067 105 89.52 Chr1
25653448 25664752 11305 25653448 25653891 444 25664311 25664752 442 99.32 Chr1
25709267 25714504 5238 25709267 25709647 381 25714119 25714504 386 96.37 Chr1
25728972 25739501 10530 25728972 25729310 339 25739175 25739501 327 96.46 Chr1
25806576 25815848 9273 25806576 25806858 283 25815571 25815848 278 97.53 Chr1
25887547 25900406 12860 25887547 25888606 1060 25899343 25900406 1064 99.53 Chr1
25937890 25947352 9463 25937890 25938982 1093 25946255 25947352 1098 99.45 Chr1
25990212 26003072 12861 25990212 25990340 129 26002957 26003072 116 85.27 Chr1
26015188 26027992 12805 26015188 26016241 1054 26026938 26027992 1055 99.62 Chr1
26143561 26152065 8505 26143561 26143678 118 26151948 26152065 118 88.14 Chr1
26200116 26206326 6211 26200116 26200508 393 26205944 26206326 383 87.02 Chr1
26375750 26388360 12611 26375750 26375955 206 26388147 26388360 214 86.45 Chr1
26542779 26557892 15114 26542779 26545768 2990 26554902 26557892 2991 99.77 Chr1
26665885 26678726 12842 26665885 26666969 1085 26677639 26678726 1088 99.72 Chr1
26750689 26752310 1622 26750689 26751151 463 26751849 26752310 462 92.44 Chr1
26848661 26861532 12872 26848661 26849738 1078 26860455 26861532 1078 100.00 Chr1
26904364 26910478 6115 26904364 26904506 143 26910346 26910478 133 86.71 Chr1
26925150 26929541 4392 26925150 26925904 755 26928802 26929541 740 93.64 Chr1
26942852 26954867 12016 26942852 26945863 3012 26951855 26954867 3013 99.70 Chr1
26980173 26991447 11275 26980173 26984362 4190 26987256 26991447 4192 99.81 Chr1
27218109 27225667 7559 27218109 27218417 309 27225357 27225667 311 87.14 Chr1
27399725 27406802 7078 27399725 27401168 1444 27405349 27406802 1454 98.28 Chr1
27440230 27451546 11317 27440230 27444442 4213 27447335 27451546 4212 99.83 Chr1
27463079 27466435 3357 27463079 27463798 720 27465712 27466435 724 86.33 Chr1
27528955 27532832 3878 27528955 27529343 389 27532444 27532832 389 96.66 Chr1
27572468 27574352 1885 27572468 27572769 302 27574055 27574352 298 88.08 Chr1
27786151 27800057 13907 27786151 27787665 1515 27798546 27800057 1512 95.71 Chr1
27809792 27812696 2905 27809792 27810423 632 27812056 27812696 641 90.95 Chr1
27890405 27895089 4685 27890405 27890791 387 27894703 27895089 387 94.83 Chr1
27899255 27905485 6231 27899255 27900008 754 27904722 27905485 764 97.38 Chr1
28012360 28022747 10388 28012360 28012513 154 28022592 28022747 156 87.82 Chr1
28200509 28202519 2011 28200509 28200655 147 28202370 28202519 150 86.00 Chr1
28212731 28214210 1480 28212731 28212834 104 28214109 28214210 102 86.54 Chr1
28305311 28307079 1769 28305311 28305593 283 28306802 28307079 278 92.23 Chr1
28337720 28342905 5186 28337720 28338143 424 28342473 28342905 433 96.77 Chr1
28438418 28439902 1485 28438418 28438606 189 28439713 28439902 190 90.53 Chr1
28524147 28526836 2690 28524147 28524657 511 28526327 28526836 510 95.69 Chr1
28547236 28554014 6779 28547236 28547482 247 28553769 28554014 246 90.69 Chr1
28662204 28668819 6616 28662204 28662388 185 28668634 28668819 186 86.02 Chr1
28712401 28724798 12398 28712401 28713739 1339 28723465 28724798 1334 97.68 Chr1
28735354 28738421 3068 28735354 28735556 203 28738226 28738421 196 94.09 Chr1
28840197 28846434 6238 28840197 28840958 762 28845677 28846434 758 98.82 Chr1
28876674 28878420 1747 28876674 28876855 182 28878236 28878420 185 87.03 Chr1
28940235 28948004 7770 28940235 28940921 687 28947316 28948004 689 85.78 Chr1
28995860 29004776 8917 28995860 28996339 480 29004283 29004776 494 96.76 Chr1
29043196 29050975 7780 29043196 29043509 314 29050666 29050975 310 91.08 Chr1
29173035 29176328 3294 29173035 29173144 110 29176229 29176328 100 90.00 Chr1
29253361 29262115 8755 29253361 29256935 3575 29258540 29262115 3576 99.80 Chr1
29344270 29357185 12916 29344270 29345357 1088 29356097 29357185 1089 99.17 Chr1
29519585 29520863 1279 29519585 29519712 128 29520743 29520863 121 85.16 Chr1
29583440 29590137 6698 29583440 29583654 215 29589921 29590137 217 94.47 Chr1
29789786 29800956 11171 29789786 29789913 128 29800825 29800956 132 90.91 Chr1
29812648 29814610 1963 29812648 29812775 128 29814483 29814610 128 88.28 Chr1
29859823 29868606 8784 29859823 29860569 747 29867854 29868606 753 93.36 Chr1
29881328 29886604 5277 29881328 29881792 465 29886141 29886604 464 98.06 Chr1
29897880 29903282 5403 29897880 29897981 102 29903175 29903282 108 87.04 Chr1
30051221 30053352 2132 30051221 30051434 214 30053140 30053352 213 89.25 Chr1
30074663 30080282 5620 30074663 30074901 239 30080048 30080282 235 91.21 Chr1
30125058 30130607 5550 30125058 30125208 151 30130466 30130607 142 88.74 Chr1
30152982 30154835 1854 30152982 30153281 300 30154532 30154835 304 89.14 Chr1
30284489 30287719 3231 30284489 30284790 302 30287418 30287719 302 90.73 Chr1
30335258 30339385 4128 30335258 30335370 113 30339279 30339385 107 89.38 Chr1
30372694 30378550 5857 30372694 30373106 413 30378142 30378550 409 86.92 Chr1
30432460 30445247 12788 30432460 30433563 1104 30444144 30445247 1104 99.00 Chr1
30512861 30521339 8479 30512861 30513315 455 30520886 30521339 454 96.26 Chr1
30551554 30555566 4013 30551554 30551677 124 30555446 30555566 121 88.71 Chr1
30653420 30654529 1110 30653420 30653519 100 30654420 30654529 110 86.36 Chr1
30671300 30674369 3070 30671300 30671450 151 30674214 30674369 156 93.59 Chr1
30709900 30711741 1842 30709900 30710048 149 30711595 30711741 147 91.95 Chr1
30768464 30772871 4408 30768464 30768966 503 30772364 30772871 508 88.19 Chr1
30801082 30803196 2115 30801082 30801360 279 30802918 30803196 279 92.47 Chr1
30890246 30905260 15015 30890246 30890487 242 30905016 30905260 245 85.31 Chr1
31019517 31031058 11542 31019517 31022593 3077 31027978 31031058 3081 99.61 Chr1
31043160 31044467 1308 31043160 31043438 279 31044182 31044467 286 90.56 Chr1
31122312 31127327 5016 31122312 31122445 134 31127194 31127327 134 100.00 Chr1
31138202 31151890 13689 31138202 31138957 756 31151127 31151890 764 97.77 Chr1
31234275 31239063 4789 31234275 31234448 174 31238890 31239063 174 99.43 Chr1
31438711 31451540 12830 31438711 31439791 1081 31450455 31451540 1086 98.71 Chr1
31460208 31472642 12435 31460208 31461442 1235 31471415 31472642 1228 98.70 Chr1
31501136 31503149 2014 31501136 31501331 196 31502954 31503149 196 96.43 Chr1
31612243 31617155 4913 31612243 31612412 170 31616986 31617155 170 88.82 Chr1
31781411 31788830 7420 31781411 31782022 612 31788219 31788830 612 93.79 Chr1
31907046 31911762 4717 31907046 31907425 380 31911389 31911762 374 97.11 Chr1
32303758 32308991 5234 32303758 32303891 134 32308855 32308991 137 96.35 Chr1
32377800 32379579 1780 32377800 32377957 158 32379418 32379579 162 89.51 Chr1
