SeqID	Retrotransposon	Left_LTR	Right_LTR			Left_TSD	Right_TSD	Polypurine Tract			TG	CA
Start	End	Start	End	Start	End	ID	Start	End	Start	End	Start	End	Strand	Purine%	Start	End
Chr1	19608992	19623156	19608992	19610978	19621180	19623156	99	---	---	---	---	19620978	19620994	+	82	19608992	19623152
Chr1	19623705	19635035	19623705	19624153	19634587	19635035	99	---	---	---	---	19624420	19624440	-	71	19623706	19635034
Chr1	19657146	19668203	19657146	19661260	19664093	19668203	99	---	---	---	---	19661387	19661402	-	93	19657146	19668200
Chr1	19754160	19764936	19754167	19757411	19761678	19764923	99	19754155	19754159	19764937	19764941	19757538	19757559	-	90	19754167	19764924
Chr1	19790413	19801718	19790413	19790856	19801275	19801718	99	---	---	---	---	19791127	19791147	-	71	19790413	19801714
Chr1	19802867	19808638	19802879	19804600	19806853	19808626	87	19802861	19802866	19808639	19808644	19804666	19804679	-	92	19802872	19808629
Chr1	19834607	19843768	19834607	19835025	19843357	19843768	94	---	---	---	---	19835256	19835281	-	73	19834607	19843763
Chr1	19864285	19867182	19864289	19864656	19866815	19867182	98	19864280	19864284	19867183	19867187	19866719	19866749	+	80	19864289	19867180
Chr1	19936057	19948155	19936057	19939221	19944991	19948155	99	---	---	---	---	19944814	19944835	+	86	19936057	19948153
Chr1	19999253	20011353	19999256	20002411	20008191	20011349	99	19999248	19999252	20011354	20011358	20002571	20002591	-	85	19999253	20011347
Chr1	20082209	20088865	20082209	20082703	20088370	20088865	91	---	---	---	---	20088181	20088198	+	77	---	---
Chr1	20082731	20086416	20082731	20083251	20085887	20086416	90	---	---	---	---	---	---	0	--	---	---
Chr1	20085609	20088818	20085609	20085904	20088517	20088818	85	---	---	---	---	20085997	20086012	-	75	---	---
Chr1	20136204	20145006	20136205	20137697	20143529	20145006	91	20136199	20136203	20145007	20145011	20137933	20137962	-	70	20136206	20145004
Chr1	20158729	20170499	20158729	20161917	20167311	20170499	99	---	---	---	---	20162089	20162112	-	100	20158734	20170495
Chr1	20184379	20190343	20184379	20184611	20190110	20190343	97	---	---	---	---	20184678	20184706	-	72	20184391	20190341
Chr1	20219977	20231322	20219977	20220546	20230754	20231322	96	---	---	---	---	20230243	20230263	+	71	20219980	20231318
Chr1	20325498	20334347	20325498	20326569	20333284	20334347	89	---	---	---	---	20326649	20326682	-	79	---	---
Chr1	20365151	20371606	20365151	20366115	20370616	20371606	96	---	---	---	---	20366320	20366333	-	85	20365151	20371604
Chr1	20389601	20395264	20389601	20390350	20394515	20395264	98	---	---	---	---	20394307	20394344	+	76	20389601	20395248
Chr1	20470517	20474999	20470517	20471305	20474211	20474999	97	---	---	---	---	20471375	20471428	-	70	20470517	20474994
Chr1	20611257	20617723	20611257	20612242	20616743	20617723	99	---	---	---	---	20616524	20616537	+	85	20611257	20617721
Chr1	20684974	20697405	20684974	20685227	20697151	20697405	96	---	---	---	---	20696966	20696989	+	75	20684978	20697403
Chr1	20756401	20760488	20756401	20757122	20759761	20760488	96	---	---	---	---	20759630	20759646	+	82	20756401	20760486
Chr1	20792822	20804143	20792822	20793261	20803703	20804143	97	---	---	---	---	20803337	20803363	+	70	20792822	20804140
Chr1	20835063	20841650	20835063	20835503	20841210	20841650	99	---	---	---	---	20835570	20835598	-	72	20835063	20841648
Chr1	20877056	20887347	20877056	20878039	20886379	20887347	96	---	---	---	---	20886205	20886219	+	93	20877056	20887345
Chr1	20917838	20922824	20917844	20918633	20922035	20922823	97	20917833	20917837	20922825	20922829	20918666	20918724	-	72	20917845	20922821
Chr1	20963432	20976315	20963444	20964513	20975233	20976302	99	20963427	20963431	20976316	20976320	20974712	20974749	+	86	20963445	20976312
Chr1	20998350	21008561	20998350	21001524	21005381	21008558	99	20998343	20998349	21008562	21008568	21005231	21005252	+	95	20998350	21008554
Chr1	21048200	21054483	21048200	21048610	21054073	21054483	99	---	---	---	---	21053800	21053842	+	72	21048200	21054481
Chr1	21091550	21098788	21091555	21091995	21098334	21098774	99	21091545	21091549	21098789	21098793	21098238	21098266	+	72	21091555	21098776
Chr1	21205910	21218777	21205923	21206991	21217707	21218775	99	21205904	21205909	21218778	21218783	21207475	21207512	-	86	21205919	21218773
Chr1	21245230	21258140	21245234	21246305	21257058	21258129	99	21245221	21245229	21258141	21258149	21246786	21246823	-	89	21245234	21258126
Chr1	21286922	21301291	21286922	21287671	21300545	21301291	89	---	---	---	---	21299901	21299951	+	72	21286924	21301289
Chr1	21289645	21299741	21289645	21292812	21296577	21299741	99	---	---	---	---	21292929	21292947	-	94	21289645	21299739
Chr1	21316957	21327303	21316957	21322137	21322137	21327303	99	---	---	---	---	---	---	0	--	21316959	21327290
Chr1	21397519	21401421	21397521	21398265	21400679	21401417	92	21397514	21397518	21401422	21401426	21398371	21398386	-	81	---	---
Chr1	21450433	21458895	21450437	21453829	21455494	21458886	99	21450427	21450432	21458896	21458901	21455394	21455408	+	86	21450437	21458880
Chr1	21505255	21512345	21505255	21505898	21511651	21512344	85	21505250	21505254	21512346	21512350	21506144	21506156	-	76	---	---
Chr1	21555084	21558854	21555084	21555222	21558715	21558854	90	---	---	---	---	---	---	0	--	---	---
Chr1	21568783	21572644	21568794	21570167	21571335	21572641	86	21568778	21568782	21572645	21572649	21571235	21571260	+	76	21568794	21572638
Chr1	21582093	21594000	21582093	21584696	21591408	21594000	94	---	---	---	---	21584842	21584853	-	83	---	---
Chr1	21643945	21656856	21643956	21645060	21655743	21656847	99	21643939	21643944	21656857	21656862	21655221	21655258	+	86	21643953	21656845
Chr1	21763714	21769554	21763714	21764131	21769137	21769554	99	---	---	---	---	21768887	21768918	+	75	21763714	21769552
Chr1	21824168	21826840	21824168	21824436	21826570	21826840	90	---	---	---	---	21826481	21826513	+	75	21824186	21826837
Chr1	21859594	21872878	21859594	21860876	21871570	21872878	93	---	---	---	---	21861386	21861411	-	80	21859594	21872876
Chr1	21950011	21955963	21950017	21950434	21955544	21955961	99	21950005	21950010	21955964	21955969	21955353	21955366	+	78	21950022	21955959
Chr1	22045575	22048378	22045575	22045703	22048248	22048378	90	---	---	---	---	22045705	22045730	-	76	---	---
Chr1	22050680	22060882	22050680	22053117	22058445	22060882	99	---	---	---	---	22053200	22053222	-	95	22050680	22060880
Chr1	22072772	22075179	22072772	22073064	22074887	22075179	92	---	---	---	---	22073083	22073102	-	80	22072784	22075164
Chr1	22270549	22279088	22270549	22271746	22277938	22279088	91	---	---	---	---	22277668	22277702	+	77	22270549	22279086
Chr1	22282520	22284890	22282520	22282692	22284724	22284890	90	---	---	---	---	---	---	0	--	---	---
Chr1	22294730	22301184	22294730	22295696	22300195	22301184	96	---	---	---	---	22295901	22295914	-	85	22294732	22301182
Chr1	22313586	22323491	22313586	22316299	22320744	22323491	94	---	---	---	---	22316359	22316387	-	72	---	---
Chr1	22400914	22412378	22400914	22401486	22411806	22412378	94	---	---	---	---	22411416	22411456	+	73	22400917	22412376
Chr1	22508719	22520663	22508719	22511716	22517665	22520663	99	---	---	---	---	22517494	22517518	+	76	22508719	22520661
Chr1	22564186	22573358	22564186	22565345	22572186	22573358	94	---	---	---	---	22565576	22565600	-	88	22564186	22573354
Chr1	22583916	22588284	22583916	22585536	22586653	22588282	91	22583911	22583915	22588285	22588289	---	---	0	--	---	---
Chr1	22788918	22799150	22788918	22789068	22798999	22799150	89	---	---	---	---	22789328	22789339	-	100	---	---
Chr1	22792414	22799592	22792414	22792863	22799144	22799592	91	---	---	---	---	22793165	22793177	-	76	22792432	22799586
Chr1	22841040	22849118	22841042	22841335	22848819	22849112	97	22841035	22841039	22849119	22849123	22841677	22841695	-	73	---	---
Chr1	22872780	22875481	22872780	22873098	22875165	22875481	85	---	---	---	---	22873160	22873175	-	75	---	---
Chr1	23015198	23026067	23015198	23017082	23024167	23026067	87	---	---	---	---	23023984	23024012	+	79	---	---
Chr1	23031710	23041997	23031710	23032126	23041592	23041997	91	---	---	---	---	23041207	23041237	+	74	23031713	23041980
Chr1	23038412	23041428	23038412	23038638	23041202	23041428	94	---	---	---	---	---	---	0	--	---	---
Chr1	23050709	23063683	23050712	23051960	23062425	23063676	98	23050701	23050708	23063684	23063691	23062050	23062080	+	74	23050710	23063671
Chr1	23127487	23137447	23127496	23130663	23134271	23137437	99	23127481	23127486	23137448	23137453	23134122	23134145	+	91	23127489	23137443
Chr1	23145759	23153114	23145759	23146048	23152823	23153114	93	---	---	---	---	23152499	23152528	+	73	---	---
Chr1	23148711	23152344	23148711	23149304	23151788	23152344	87	---	---	---	---	23151685	23151734	+	72	23148718	23152329
Chr1	23149573	23152465	23149573	23149701	23152337	23152465	94	---	---	---	---	23149717	23149734	-	83	23149581	23152447
Chr1	23275137	23279033	23275137	23275842	23278329	23279033	97	---	---	---	---	---	---	0	--	23275137	23279030
Chr1	23383851	23387070	23383851	23384279	23386632	23387070	85	---	---	---	---	---	---	0	--	23383866	23387060
Chr1	23392789	23396103	23392789	23393151	23395741	23396103	85	---	---	---	---	23395643	23395662	+	75	---	---
Chr1	23399737	23410940	23399740	23400197	23410470	23410927	97	23399732	23399736	23410941	23410945	23410146	23410169	+	70	---	---
Chr1	23456057	23465116	23456057	23457573	23463623	23465116	85	---	---	---	---	23463402	23463426	+	80	---	---
Chr1	23459642	23463398	23459657	23460353	23462675	23463391	92	23459637	23459641	23463399	23463403	23460424	23460440	-	70	23459650	23463387
Chr1	23466299	23470242	23466299	23467692	23468829	23470242	94	---	---	---	---	23467758	23467792	-	71	23466300	23470240
Chr1	23474446	23483922	23474446	23478064	23480304	23483922	99	---	---	---	---	23480193	23480221	+	86	23474450	23483921
Chr1	23502309	23508745	23502318	23503298	23507796	23508737	94	23502304	23502308	23508746	23508750	23507577	23507590	+	85	23502311	23508738
Chr1	23593880	23606771	23593880	23594962	23605691	23606771	99	---	---	---	---	23605169	23605206	+	86	23593880	23606769
Chr1	24419399	24427438	24419401	24419651	24427174	24427429	92	24419393	24419398	24427439	24427444	24426974	24427029	+	73	24419399	24427433
Chr1	24563584	24565719	24563594	24564630	24564631	24565719	85	24563579	24563583	24565720	24565724	---	---	0	--	24563594	24565705
Chr1	24670445	24677630	24670446	24670896	24677191	24677630	90	24670440	24670444	24677631	24677635	24677095	24677123	+	72	24670446	24677620
Chr1	24682567	24688253	24682567	24682782	24688038	24688253	93	---	---	---	---	24687777	24687805	+	72	24682585	24688251
Chr1	24742850	24748438	24742856	24744124	24747172	24748434	98	24742837	24742849	24748439	24748451	24744163	24744177	-	93	24742854	24748432
Chr1	24774793	24779567	24774793	24775002	24779358	24779567	99	---	---	---	---	24779208	24779228	+	80	24774793	24779565
Chr1	25066141	25071248	25066141	25066785	25070615	25071248	87	---	---	---	---	25066823	25066852	-	86	---	---
Chr1	25099678	25112582	25099690	25100901	25111376	25112576	98	25099673	25099677	25112583	25112587	25101242	25101272	-	74	25099681	25112574
Chr1	25168276	25179273	25168276	25169369	25178156	25179273	94	---	---	---	---	25169776	25169809	-	73	25168281	25179270
Chr1	25303305	25311820	25303319	25303986	25311144	25311812	97	25303300	25303304	25311821	25311825	25304050	25304069	-	75	25303321	25311817
Chr1	25566857	25573312	25566857	25567349	25572820	25573312	99	---	---	---	---	25572546	25572590	+	71	25566857	25573310
Chr1	25581575	25591931	25581575	25581771	25591730	25591931	87	---	---	---	---	25591469	25591509	+	78	---	---
Chr1	25653447	25664754	25653447	25653891	25664310	25664754	99	---	---	---	---	25664268	25664297	+	70	25653447	25664749
Chr1	25709285	25714505	25709285	25709647	25714142	25714505	99	---	---	---	---	25709659	25709686	-	71	25709289	25714502
Chr1	25728119	25739508	25728119	25729310	25738384	25739508	93	---	---	---	---	25737954	25738042	+	84	25728124	25739496
Chr1	25804382	25816381	25804390	25807369	25813366	25816369	99	25804376	25804381	25816382	25816387	25807592	25807619	-	75	25804382	25816377
Chr1	25887547	25900404	25887547	25888606	25899345	25900404	99	---	---	---	---	25889106	25889143	-	86	25887547	25900399
Chr1	25937881	25947363	25937890	25938982	25946258	25947352	99	25937874	25937880	25947364	25947370	25939006	25939019	-	85	25937886	25947350
Chr1	26015176	26027996	26015186	26016241	26026937	26027992	99	26015166	26015175	26027997	26028006	26026564	26026601	+	71	26015176	26027989
Chr1	26143558	26152067	26143558	26143678	26151947	26152067	90	---	---	---	---	26151901	26151945	+	77	26143560	26152062
Chr1	26224069	26235902	26224069	26224396	26235575	26235902	85	---	---	---	---	26224928	26224947	-	70	26224072	26235893
Chr1	26665884	26678726	26665884	26666969	26677641	26678726	99	---	---	---	---	26677122	26677159	+	86	26665885	26678724
Chr1	26737192	26749564	26737206	26737328	26749438	26749560	91	26737187	26737191	26749565	26749569	26737859	26737872	-	78	---	---
Chr1	26848660	26861532	26848660	26849738	26860454	26861532	99	---	---	---	---	26850221	26850258	-	86	26848660	26861529
Chr1	26925093	26929341	26925093	26925694	26928716	26929341	91	---	---	---	---	---	---	0	--	26925110	26929327
Chr1	26954851	26967255	26954862	26955419	26966696	26967253	99	26954846	26954850	26967256	26967260	26955878	26955983	-	79	26954860	26967251
Chr1	26966179	26980099	26966179	26967253	26979017	26980099	85	---	---	---	---	26967570	26967614	-	73	26966179	26980097
Chr1	26980159	26991455	26980172	26984362	26987255	26991447	99	26980154	26980158	26991456	26991460	26987148	26987188	+	80	26980172	26991445
Chr1	27399715	27408719	27399715	27403094	27405348	27408719	99	---	---	---	---	27403180	27403207	-	85	27399715	27408717
Chr1	27440229	27451546	27440229	27444442	27447334	27451546	99	---	---	---	---	27444508	27444548	-	80	27440229	27451544
Chr1	27528954	27532832	27528954	27529343	27532443	27532832	96	---	---	---	---	27529467	27529478	-	83	27528955	27532830
Chr1	27786155	27800054	27786155	27787665	27798545	27800054	96	---	---	---	---	27798001	27798016	+	75	27786156	27800052
Chr1	27886165	27890313	27886169	27886852	27889606	27890300	92	27886159	27886164	27890314	27890319	27889469	27889495	+	70	27886167	27890298
Chr1	27890399	27895098	27890404	27890791	27894702	27895089	94	27890393	27890398	27895099	27895104	27890938	27890958	-	71	27890405	27895089
Chr1	27899241	27905689	27899250	27900223	27904724	27905682	98	27899236	27899240	27905690	27905694	27904505	27904518	+	85	27899243	27905683
Chr1	28012366	28022745	28012366	28012513	28022598	28022745	90	---	---	---	---	28012736	28012782	-	70	28012371	28022741
Chr1	28035992	28048883	28035992	28037122	28047757	28048883	99	---	---	---	---	28037466	28037496	-	74	28035996	28048881
Chr1	28213502	28216142	28213511	28213689	28215949	28216127	92	28213497	28213501	28216143	28216147	28213755	28213769	-	86	28213505	28216138
Chr1	28337712	28342914	28337719	28338143	28342481	28342905	98	28337706	28337711	28342915	28342920	28342284	28342302	+	73	28337720	28342903
Chr1	28524116	28527182	28524116	28524997	28526301	28527182	92	---	---	---	---	---	---	0	--	28524121	28527177
Chr1	28547226	28554010	28547226	28547479	28553754	28554010	90	---	---	---	---	28547554	28547572	-	73	28547236	28553996
Chr1	28712395	28724797	28712395	28713727	28723464	28724797	98	---	---	---	---	28714186	28714214	-	86	28712400	28724795
Chr1	28735357	28738564	28735358	28735737	28738225	28738562	85	28735351	28735356	28738565	28738570	28735770	28735789	-	70	28735358	28738559
Chr1	28839998	28846437	28839998	28840958	28845458	28846437	97	---	---	---	---	28841163	28841176	-	85	28839999	28846435
Chr1	28995849	29007333	28995849	28998898	29004282	29007333	99	---	---	---	---	29004116	29004131	+	81	28995849	29007331
Chr1	29041007	29048078	29041020	29041372	29047716	29048068	88	29041002	29041006	29048079	29048083	29047454	29047479	+	92	29041016	29048066
Chr1	29083647	29096564	29083647	29084872	29095343	29096564	98	---	---	---	---	29094819	29094883	+	83	29083647	29096562
Chr1	29172905	29177524	29172905	29173894	29176535	29177524	99	---	---	---	---	29176405	29176422	+	83	---	---
Chr1	29253358	29262105	29253358	29256924	29258539	29262105	99	---	---	---	---	29257009	29257024	-	87	29253360	29262103
Chr1	29344264	29357185	29344264	29345357	29356089	29357185	98	---	---	---	---	29355553	29355635	+	80	29344269	29357183
Chr1	29583439	29590134	29583442	29583650	29589920	29590132	96	29583433	29583438	29590135	29590140	29583800	29583829	-	76	29583454	29590121
Chr1	29789784	29800956	29789784	29789913	29800827	29800956	93	---	---	---	---	29790442	29790458	-	76	29789785	29800955
Chr1	29859925	29868801	29859925	29860737	29867963	29868801	91	---	---	---	---	29867620	29867646	+	77	---	---
Chr1	29881325	29886609	29881327	29881792	29886140	29886606	98	29881319	29881324	29886610	29886615	29881970	29881991	-	72	29881330	29886608
Chr1	30065304	30069778	30065309	30065851	30069231	30069776	85	30065298	30065303	30069779	30069784	30069134	30069154	+	80	30065308	30069775
Chr1	30074657	30080282	30074657	30074892	30080047	30080282	96	---	---	---	---	30074894	30074923	-	76	30074659	30080277
Chr1	30083493	30091511	30083493	30084062	30090943	30091511	93	---	---	---	---	30084321	30084335	-	73	---	---
Chr1	30266127	30272403	30266127	30266531	30271989	30272403	93	---	---	---	---	30271840	30271864	+	80	30266127	30272401
Chr1	30308096	30313969	30308096	30308225	30313842	30313969	87	---	---	---	---	30308482	30308493	-	91	30308101	30313964
Chr1	30372597	30378554	30372597	30373101	30378047	30378554	88	---	---	---	---	30377916	30377937	+	77	30372606	30378549
Chr1	30432458	30445247	30432458	30433560	30444145	30445247	99	---	---	---	---	30443771	30443801	+	74	30432459	30445244
Chr1	30512487	30521651	30512487	30513636	30520548	30521651	85	---	---	---	---	30520235	30520274	+	82	---	---
Chr1	30666717	30677153	30666717	30668165	30675707	30677153	90	---	---	---	---	30668240	30668251	-	83	30666721	30677143
Chr1	30670249	30674442	30670249	30671527	30673149	30674442	91	---	---	---	---	30673059	30673072	+	92	---	---
Chr1	31019514	31031058	31019514	31022593	31027977	31031058	99	---	---	---	---	31027813	31027828	+	81	31019517	31031056
Chr1	31122311	31127327	31122311	31122445	31127193	31127327	99	---	---	---	---	31122667	31122682	-	81	31122311	31127325
Chr1	31138209	31151884	31138209	31138954	31151139	31151884	99	---	---	---	---	31139382	31139413	-	81	31138209	31151882
Chr1	31212121	31224784	31212128	31212914	31223994	31224780	96	31212115	31212120	31224785	31224790	31223502	31223526	+	76	31212124	31224775
Chr1	31234269	31239070	31234274	31234448	31238889	31239063	98	31234262	31234268	31239071	31239077	31238741	31238771	+	77	31234272	31239061
Chr1	31438711	31451540	31438711	31439791	31450459	31451540	98	---	---	---	---	31440250	31440325	-	81	31438711	31451538
Chr1	31460211	31472644	31460211	31461442	31471414	31472644	99	---	---	---	---	31461900	31461940	-	85	---	---
Chr1	31612231	31617217	31612239	31612471	31616985	31617212	90	31612226	31612230	31617218	31617222	31612658	31612695	-	71	31612235	31617215
Chr1	31907045	31911761	31907045	31907420	31911388	31911761	97	---	---	---	---	---	---	0	--	31907045	31911759
Chr1	32063949	32070393	32063949	32064949	32069415	32070393	96	---	---	---	---	32065148	32065171	-	79	32063949	32070389
Chr1	32205101	32216718	32205101	32206145	32215686	32216718	97	---	---	---	---	32206480	32206510	-	74	32205106	32216710
Chr1	32305739	32311549	32305739	32306391	32310883	32311549	89	---	---	---	---	---	---	0	--	32305750	32311532
Chr1	32486482	32498407	32486490	32486799	32498083	32498393	92	32486476	32486481	32498408	32498413	32497540	32497573	+	70	32486493	32498400
Chr1	32517696	32522076	32517696	32518488	32521284	32522076	97	---	---	---	---	32521231	32521261	+	74	32517696	32522074
Chr1	32740238	32746698	32740238	32741665	32745213	32746698	86	---	---	---	---	32741786	32741808	-	78	32740245	32746680
Chr1	32859576	32868066	32859576	32859946	32867690	32868066	91	---	---	---	---	32867302	32867316	+	86	---	---
Chr1	32898949	32911650	32898949	32905298	32905301	32911650	99	---	---	---	---	---	---	0	--	32898949	32911646
Chr1	33416686	33426962	33416686	33417222	33426399	33426962	92	---	---	---	---	33425960	33425982	+	73	33416686	33426960
Chr1	33427037	33440843	33427037	33428547	33439334	33440843	97	---	---	---	---	33429046	33429062	-	76	33427051	33440842
Chr1	33643544	33649993	33643544	33644529	33648950	33649993	87	---	---	---	---	33644729	33644750	-	77	33643545	33649990
Chr1	33670044	33677111	33670044	33670671	33676481	33677111	89	---	---	---	---	33670893	33670906	-	85	33670053	33677099
Chr1	33698890	33709254	33698891	33699676	33708503	33709251	89	33698885	33698889	33709255	33709259	33708097	33708123	+	85	---	---
Chr1	33850341	33861899	33850341	33853446	33858796	33861899	99	---	---	---	---	33853687	33853700	-	78	33850343	33861897
Chr1	33979573	33988978	33979587	33980568	33987987	33988978	90	33979568	33979572	33988979	33988983	33980726	33980740	-	93	33979573	33988975
Chr1	34061708	34072749	34061708	34063701	34070770	34072749	85	---	---	---	---	34070697	34070715	+	73	---	---
Chr1	34085624	34090697	34085624	34085899	34090416	34090697	86	---	---	---	---	34090288	34090309	+	77	---	---
Chr1	34204371	34217380	34204371	34205100	34216649	34217380	90	---	---	---	---	34205664	34205678	-	80	---	---
Chr1	34264466	34274851	34264466	34264878	34274438	34274851	97	---	---	---	---	34273962	34273984	+	73	34264466	34274849
Chr1	34330300	34333181	34330300	34330544	34332938	34333181	91	---	---	---	---	34332829	34332844	+	100	---	---
Chr1	34335607	34348074	34335608	34340818	34342855	34348067	99	34335602	34335606	34348075	34348079	34342753	34342774	+	81	34335608	34348065
Chr1	34453361	34464511	34453361	34453963	34463902	34464511	87	---	---	---	---	34463448	34463477	+	70	34453367	34464508
Chr1	34589746	34596031	34589746	34590598	34595179	34596031	99	---	---	---	---	34595011	34595035	+	72	34589750	34596029
Chr1	34598073	34608143	34598087	34598350	34607880	34608141	89	34598068	34598072	34608144	34608148	34598509	34598538	-	70	---	---
Chr1	34646859	34656872	34646859	34647047	34656683	34656872	85	---	---	---	---	34647496	34647515	-	80	34646875	34656864
Chr1	34749699	34761118	34749699	34750141	34760676	34761118	98	---	---	---	---	34750204	34750232	-	72	34749699	34761112
Chr1	34821554	34831266	34821554	34822634	34830186	34831266	99	---	---	---	---	34822658	34822671	-	85	34821554	34831264
Chr1	34920366	34934444	34920380	34925461	34929355	34934436	99	34920361	34920365	34934445	34934449	34929176	34929207	+	81	---	---
Chr1	34970461	34976124	34970461	34970918	34975666	34976124	97	---	---	---	---	34975600	34975618	+	84	34970464	34976122
Chr1	35012164	35023263	35012171	35015552	35019887	35023261	99	35012157	35012163	35023264	35023270	35015685	35015712	-	85	35012164	35023258
Chr1	35035888	35049060	35035890	35037104	35047836	35049049	98	35035883	35035887	35049061	35049065	35037563	35037641	-	81	35035891	35049047
Chr1	35111273	35113786	35111273	35111448	35113609	35113786	92	---	---	---	---	35113502	35113547	+	80	35111273	35113784
Chr1	35277694	35289769	35277694	35280852	35286610	35289769	99	---	---	---	---	35281008	35281028	-	85	35277694	35289767
Chr1	35443197	35456620	35443197	35446820	35452999	35456620	99	---	---	---	---	35447042	35447089	-	72	35443197	35456618
Chr1	35567105	35578267	35567105	35568311	35577036	35578267	92	---	---	---	---	35576599	35576615	+	70	---	---
Chr1	35587722	35598957	35587722	35588378	35598301	35598957	90	---	---	---	---	35597996	35598018	+	78	35587740	35598953
Chr1	35668085	35680962	35668085	35669343	35679703	35680962	98	---	---	---	---	35669777	35669861	-	80	35668085	35680957
Chr1	35760064	35765309	35760071	35761742	35763673	35765302	92	35760058	35760063	35765310	35765315	35763578	35763589	+	83	---	---
Chr1	36032798	36036680	36032798	36033513	36035964	36036680	94	---	---	---	---	36035870	36035886	+	70	36032798	36036677
Chr1	36068260	36080278	36068260	36068664	36079873	36080278	96	---	---	---	---	36079332	36079364	+	84	36068262	36080276
Chr1	36545267	36557253	36545267	36548268	36554258	36557253	99	---	---	---	---	36548414	36548448	-	77	36545267	36557251
Chr1	36572885	36585394	36572893	36576018	36582265	36585388	99	36572880	36572884	36585395	36585399	36576259	36576272	-	78	36572893	36585386
Chr1	37128131	37133007	37128131	37128357	37132781	37133007	97	---	---	---	---	37132646	37132666	+	71	---	---
Chr1	37164035	37170349	37164035	37164454	37169934	37170349	96	---	---	---	---	37164587	37164611	-	80	37164037	37170347
Chr1	37208128	37221285	37208128	37211096	37218330	37221285	98	---	---	---	---	37211194	37211267	-	70	37208139	37221283
Chr1	37429066	37440179	37429066	37429581	37439646	37440179	91	---	---	---	---	37439423	37439476	+	70	37429066	37440176
Chr1	37479491	37483946	37479505	37480750	37482708	37483937	94	37479486	37479490	37483947	37483951	---	---	0	--	37479494	37483935
Chr1	37489562	37502481	37489562	37490644	37501399	37502481	99	---	---	---	---	37500861	37500939	+	82	37489562	37502479
Chr1	37608900	37615761	37608900	37609039	37615622	37615761	85	---	---	---	---	37609146	37609169	-	75	---	---
Chr1	37739424	37748046	37739424	37741777	37745733	37748046	88	---	---	---	---	37745590	37745607	+	72	---	---
Chr1	37815385	37825805	37815399	37815648	37825548	37825800	90	37815380	37815384	37825806	37825810	37816006	37816059	-	70	37815402	37825799
Chr1	37826204	37832292	37826204	37826704	37831789	37832292	86	---	---	---	---	37826936	37826959	-	75	37826209	37832289
Chr1	37881101	37887133	37881101	37881306	37886920	37887133	85	---	---	---	---	37886697	37886726	+	80	37881101	37887131
Chr1	38139439	38145610	38139451	38140041	38145001	38145599	88	38139432	38139438	38145611	38145617	38144806	38144822	+	70	38139451	38145609
Chr1	38345510	38359036	38345510	38346258	38358288	38359036	99	---	---	---	---	38346772	38346798	-	70	38345513	38359034
Chr1	38397104	38408714	38397104	38397416	38408404	38408714	85	---	---	---	---	38397903	38397924	-	77	38397110	38408712
Chr1	38580953	38592238	38580953	38581390	38591801	38592238	98	---	---	---	---	38591434	38591460	+	70	38580953	38592236
Chr1	38700570	38711374	38700570	38700778	38711160	38711374	93	---	---	---	---	38711012	38711029	+	77	38700578	38711360
Chr1	38772227	38786819	38772235	38772793	38786245	38786807	94	38772222	38772226	38786820	38786824	38773419	38773459	-	78	38772235	38786805
Chr1	38972488	38977860	38972488	38972779	38977562	38977860	89	---	---	---	---	38972871	38972894	-	75	---	---
Chr1	39068641	39073661	39068641	39069285	39073014	39073661	93	---	---	---	---	39072888	39072921	+	73	---	---
Chr1	39110628	39115006	39110628	39110932	39114702	39115006	98	---	---	---	---	39114657	39114671	+	80	39110641	39115000
Chr1	39118139	39127408	39118150	39118466	39127092	39127408	98	39118133	39118138	39127409	39127414	39126660	39126673	+	78	---	---
Chr1	39336544	39341461	39336544	39336800	39341205	39341461	98	---	---	---	---	39341134	39341173	+	72	39336544	39341458
Chr1	39379761	39384552	39379761	39380718	39383594	39384552	96	---	---	---	---	39383518	39383545	+	78	---	---
Chr1	39403041	39407757	39403041	39403261	39407537	39407757	99	---	---	---	---	39407403	39407433	+	77	39403042	39407755
Chr1	39709825	39718268	39709832	39710382	39717733	39718262	93	39709820	39709824	39718269	39718273	39710695	39710711	-	88	39709832	39718260
Chr1	39746760	39760533	39746760	39750497	39756881	39760533	96	---	---	---	---	39750590	39750639	-	70	39746760	39760530
Chr1	40041745	40047018	40041745	40042785	40045957	40047018	97	---	---	---	---	40042891	40042906	-	75	40041745	40047016
Chr1	40279800	40284614	40279800	40279940	40284476	40284614	87	---	---	---	---	40284251	40284286	+	77	40279804	40284608
Chr1	40374496	40378442	40374496	40375888	40377050	40378442	97	---	---	---	---	40376951	40376983	+	72	40374496	40378440
Chr1	40853067	40858189	40853067	40853432	40857824	40858189	98	---	---	---	---	40857661	40857695	+	74	40853069	40858184
Chr1	41005581	41008426	41005581	41005938	41008072	41008426	91	---	---	---	---	41006025	41006043	-	78	---	---
Chr1	41030606	41035998	41030617	41031688	41034917	41035988	99	41030600	41030605	41035999	41036004	41031793	41031808	-	75	41030617	41035986
Chr1	41170938	41174756	41170938	41171086	41174602	41174756	87	---	---	---	---	---	---	0	--	41170942	41174740
Chr1	41409812	41422654	41409812	41410888	41421578	41422654	99	---	---	---	---	41411372	41411409	-	86	41409812	41422652
